CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC1068        ALMA           349.06             16.33           2015/07/20_1   0.17861            36.705         member.uid___A001_X13b_X1a6.ngc1068_continuum.image.pbcor.fits
NGC1068        ALMA           350.51             10.17           2017/09/08_1   0.03864            76.676         member.uid___A001_X879_X2dd.ari_l.NGC1068_sci.spw0_1_2_3_350514MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           350.78             6.74            2021/09/03_1   0.01414            150.259        member.uid___A001_X1465_X846.NGC1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           350.92             16.80           2016/10/26_1   0.17811            55.502         member.uid___A001_X879_X2df.ari_l.NGC1068_sci.spw0_1_2_3_350916MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           356.59             12.42           2015/06/15_1   0.28804            46.002         member.uid___A001_X145_X302.ari_l.NGC_1068_sci.spw0_1_2_3_356589MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           460.30             17.15           2022/06/03_1   0.23615            14.863         member.uid___A001_X1590_X3590.NGC1068_sci.spw15_17.cont.I.pbcor.fits
NGC1068        ALMA           460.31             11.95           2023/06/01_1   0.05515            18.712         member.uid___A001_X1590_X358e.NGC1068_sci.spw15_17.cont.I.pbcor.fits
NGC1068        ALMA           483.30             25.71           2018/05/24_1   0.50607            22.923         member.uid___A001_X1284_X20cf.NGC_1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           483.35             20.03           2022/09/07_1   0.22026            21.115         member.uid___A001_X1590_X2b55.NGC1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           483.84             12.20           2021/11/20_1   0.05055            28.699         member.uid___A001_X1590_X2b53.NGC1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           677.96             16.12           2023/06/02_1   0.03606            15.403         member.uid___A001_X3577_X906.NGC1068_sci.spw17_19_21_23_25_27_29_31.cont.regcal.I.pbcor.fits
